Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
2842434;Sagard;Sagard;Zagard,sa jia er de,sgrd,Загард,سگرد,萨加尔德;P;PPL;DE;Germany;;12;00;13073;13073078;2859;;26;Europe/Berlin;2015-09-05;Germany;54.52556, 13.55387
2914872;Großweitzschen;Grossweitzschen;;P;PPLA4;DE;Germany;;13;00;14522;14522220;3405;;256;Europe/Berlin;2017-04-26;Germany;51.15845, 13.04517
11919772;Les Trois-Lucs;Les Trois-Lucs;;P;PPLX;FR;France;;93;13;133;13055;5117;;158;Europe/Paris;2018-08-22;France;43.31371, 5.46248
3014527;Gros-Réderching;Gros-Rederching;Gros-Rederching,Gros-Réderching,Gross Rederchingen,Gross Réderchingen;P;PPL;FR;France;;44;57;576;57261;1177;;280;Europe/Paris;2018-07-04;France;49.06835, 7.21914
3033416;Berck-Plage;Berck-Plage;;P;PPL;FR;France;;32;62;624;62108;15675;;10;Europe/Paris;2016-02-18;France;50.40704, 1.56446
3033458;Bénouville;Benouville;Benouville,Benuvil,Bénouville,Бенувил;P;PPL;FR;France;;28;14;142;14060;1828;;13;Europe/Paris;2016-02-18;France;49.24151, -0.28246
2748377;Quirijnstok;Quirijnstok;;P;PPLX;NL;Netherlands;;06;0855;;;3970;;13;Europe/Amsterdam;2017-03-24;Netherlands;51.5843, 5.0981
2799647;Denderleeuw;Denderleeuw;Denderleeuw;P;PPL;BE;Belgium;;VLG;VOV;41;41011;16969;;17;Europe/Brussels;2011-02-03;Belgium;50.88506, 4.07601
2786968;Schorisse;Schorisse;Schoorisse,Schorisse;P;PPL;BE;Belgium;;VLG;VOV;45;45064;1602;;43;Europe/Brussels;2020-05-25;Belgium;50.80309, 3.67632
2788450;Quevaucamps;Quevaucamps;;P;PPL;BE;Belgium;;WAL;WHT;51;51008;3330;;55;Europe/Brussels;2020-05-25;Belgium;50.51888, 3.68128
2799369;Diksmuide;Diksmuide;Diksmude,Diksmuide,Diksmuiden,Dixmude,Dixmuide,Dixmuiden,Smude;P;PPLA3;BE;Belgium;;VLG;VWV;32;32003;15515;;9;Europe/Brussels;2022-10-04;Belgium;51.03248, 2.86384
2817841;Varrel;Varrel;Farel,Farrel',fa lei er,Фарел,Фаррель,法雷尔;P;PPLA4;DE;Germany;;06;00;03251;03251043;1368;;40;Europe/Berlin;2011-04-25;Germany;52.6215, 8.7331
2746456;Terheijden;Terheijden;Terheden,Terheide,Terheiden;P;PPL;NL;Netherlands;;06;1719;;;5910;;2;Europe/Amsterdam;2017-10-17;Netherlands;51.64333, 4.75417
2857105;Oerel;Oerel;Ehrel',Erel,Oerel,Orel,e lei er,ereru,Örel,Ерел,Эрель,エレル,厄勒尔;P;PPLA4;DE;Germany;;06;00;03357;03357035;1854;;23;Europe/Berlin;2011-04-25;Germany;53.48333, 9.05
2896261;Immenstadt im Allgäu;Immenstadt im Allgau;Immenstadt,Immenstadt im Allgau,Immenstadt im Allgäu;P;PPL;DE;Germany;;02;097;09780;09780124;14431;;733;Europe/Berlin;2013-02-19;Germany;47.55996, 10.21394
2896546;Illertissen;Illertissen;Ilertisen,Ilertiseno,Illertissen,alrtysn,aylrtysn,yi lai er di sen,Іллертіссен,Илертисен,Иллертиссен,Իլերթիսեն,إلرتيسن,ایلرتیسن,伊莱尔蒂森;P;PPL;DE;Germany;;02;097;09775;09775129;16522;;516;Europe/Berlin;2011-04-13;Germany;48.22336, 10.10347
2911300;Hambühren;Hambuhren;Hambuehren,Hambühren,Khambiren,Khambjuren,han bi he lun,Хамбирен,Хамбюрен,汉比赫伦;P;PPLA4;DE;Germany;;06;00;03351;03351012;10259;;35;Europe/Berlin;2015-03-04;Germany;52.63333, 9.98333
2917150;Grömitz;Gromitz;Gremic,Grjomic,Groemitz,Gromitz,Grömitz,ge lei mi ci,Гремиц,Грёмиц,格勒米茨;P;PPLA4;DE;Germany;;10;00;01055;01055016;7847;;2;Europe/Berlin;2015-03-04;Germany;54.15, 10.96667
2937898;Dettingen an der Erms;Dettingen an der Erms;Detingen an der Erms,Dettingen,Dettingen-an-der-Erms,Dettingen-na-Ehrmse,de ting gen an de er ai er mu si,Детинген ан дер Ермс,Деттинген-на-Эрмсе,Деттінген-ан-дер-Ермс,德廷根安德尔埃尔姆斯;P;PPLA4;DE;Germany;;01;084;08415;08415014;9271;;396;Europe/Berlin;2011-04-25;Germany;48.53077, 9.34458
2970114;Vendin-lès-Béthune;Vendin-les-Bethune;Vanden-le-Betjun,Vendin,Vendin-les-Bethune,Vendin-lès-Béthune,Vindin-les-Betheune,Vindin-lès-Betheune,fyndyn lyh bythwn,wang dan lai bei di ne,wndyn las bthwn,Ванден-ле-Бетюн,فيندين ليه بيثون,وندین لاس بتهون,旺丹莱贝蒂讷;P;PPL;FR;France;;32;62;622;62841;2575;;32;Europe/Paris;2020-06-10;France;50.54012, 2.60043
2976084;Saône;Saone;Saone,Saône;P;PPL;FR;France;;27;25;251;25532;2838;;401;Europe/Paris;2016-02-18;France;47.22311, 6.11682
2982705;Rothau;Rothau;Roto,luo tuo,rtaw,rwthaw,Рото,رتاو,روثاو,罗托;P;PPL;FR;France;;44;67;673;67414;1653;;345;Europe/Paris;2016-02-18;France;48.45687, 7.20772
2990214;Noirétable;Noiretable;Noiretable,Noirétable;P;PPL;FR;France;;84;42;421;42159;1747;;719;Europe/Paris;2019-06-05;France;45.81671, 3.76247
2992890;Montbrison;Montbrison;Montbrise,Montbrison,Montbrisé;P;PPLA3;FR;France;;84;42;421;42147;16164;;394;Europe/Paris;2019-04-10;France;45.60752, 4.06525
2998264;Limoux;Limoux;Limos,Limoux,Limu,Limós,li mu,rimu,Лиму,Ліму,リムー,利穆;P;PPLA3;FR;France;;76;11;112;11206;10844;;172;Europe/Paris;2016-02-18;France;43.05487, 2.22173
2998298;Limerzel;Limerzel;Ecclesia Martyrum,Limerzel,Limerzel',Lizmerzher,li mei er ze,Лимерзель,Лімерзель,利梅尔泽;P;PPL;FR;France;;53;56;563;56111;1185;;70;Europe/Paris;2020-07-09;France;47.63646, -2.35427
3002967;Le Perray-en-Yvelines;Le Perray-en-Yvelines;Le Perray,Le Perray-en-Yvelines,Le-Perre-an-Ivelin,Le-Perre-an-Ivlin,Ле-Перре-ан-Івлін,Ле-Перре-ан-Ивелин;P;PPL;FR;France;;11;78;782;78486;6206;;175;Europe/Paris;2016-02-18;France;48.69441, 1.85643
3009315;La Fouillade;La Fouillade;La Fouillade;P;PPL;FR;France;;76;12;123;12105;1099;;417;Europe/Paris;2020-06-10;France;44.23121, 2.04158
3037886;Ambrières-les-Vallées;Ambrieres-les-Vallees;Ambrier-le-Valle,Ambrieres,Ambrieres-le Grand,Ambrieres-le-Grand,Ambrieres-les-Vallees,Ambrijer le Vale,Ambrières,Ambrières-le Grand,Ambrières-le-Grand,Ambrières-les-Vallées,ambryrz-l-wls,ang bu li ai lai wa lai ai,Амбријер ле Вале,Амбрієр-ле-Валле,امبریرز-ل-ولس,昂布里埃莱瓦莱埃;P;PPL;FR;France;;52;53;533;53003;2786;;129;Europe/Paris;2020-12-10;France;48.40214, -0.63108
